OBJECTID,ישוב,סוג רשות מקומית,CR_PNIM,מחוז,סהכ תאונות דרכים,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב,Shape_Length,Shape_Area,קוד ישוב,YEARMONTH,תאונות לקילומטר רבוע
1,אבו גוש,מועצה מקומית,0472,ירושלים,111,0,4,134,19,24,90,15,138,191,13,5,5,134,191,10069.40878,1891241.534,472,202007,58.69160442
2,אבו סנאן,מועצה מקומית,0473,צפון,271,1,10,486,34,131,341,22,497,461,14,8,12,358,461,20575.41264,6695521.246,473,202007,40.47481743
3,אבן יהודה,מועצה מקומית,0182,מרכז,268,3,11,340,41,54,253,38,354,517,34,14,8,392,517,17330.65743,8265593.603,182,202007,32.42356362
4,אום אל פחם,עירייה,2710,חיפה,1004,5,36,1611,183,446,1110,57,1652,1714,67,59,12,1203,1714,44152.45151,26028286.28,2710,202007,38.57341929
5,אופקים,עירייה,0031,דרום,296,3,12,371,60,78,265,40,386,488,10,13,24,330,488,14685.33823,10379524.53,31,202007,28.51768393
6,אור יהודה,עירייה,2400,תל אביב,1004,6,40,1191,172,163,916,120,1237,1778,205,55,43,1153,1778,15178.69253,6663640.016,2400,202007,150.6684031
7,אור עקיבא,עירייה,1020,חיפה,397,2,23,474,78,91,333,59,499,670,17,19,50,470,670,13757.48224,5546007.116,1020,202007,71.58303113
8,אזור,מועצה מקומית,0565,תל אביב,286,2,11,324,43,42,258,27,337,480,78,13,16,278,480,8650.436299,2216271.28,565,202007,129.0455743
9,אילת,עירייה,2600,דרום,1305,5,50,1563,254,278,1126,139,1618,2210,256,40,204,1136,2210,92453.00237,100657082.7,2600,202007,12.96481047
10,אכסאל,מועצה מקומית,0478,צפון,215,0,20,312,39,81,233,15,332,365,12,11,5,257,365,15949.09368,9104624.169,478,202007,23.61437397
11,אל בטוף,מועצה אזורית,5565,צפון,51,1,4,66,13,22,47,2,71,79,1,2,2,57,79,22705.49341,3850454.639,5565,202007,13.24518915
12,אל קסום,מועצה אזורית,5569,דרום,89,8,8,145,15,34,113,10,161,153,2,7,3,98,153,73125.25721,38706676.08,5569,202007,2.299344946
13,אלונה,מועצה אזורית,5545,חיפה,62,5,9,126,0,30,104,6,140,118,5,9,2,79,118,41326.70404,27027471.89,5545,202007,2.293962242
14,אליכין,מועצה מקומית,0041,מרכז,30,0,3,33,6,8,21,6,36,48,2,2,2,29,48,7091.603485,1689103.245,41,202007,17.76090365
15,אלעד,עירייה,1309,מרכז,370,1,10,470,99,146,294,20,481,632,53,18,40,390,632,10813.4306,3487583.554,1309,202007,106.0906482
16,אעבלין,מועצה מקומית,0529,צפון,434,6,17,828,27,172,633,43,851,796,10,19,2,605,796,22546.56467,12083419.31,529,202007,35.91698581
17,אשדוד,עירייה,0070,דרום,5646,20,112,7626,894,1225,5640,734,7758,10597,479,417,367,7739,10597,50126.87361,63895101.08,70,202007,88.36358195
18,אשכול,מועצה אזורית,5538,דרום,217,9,25,293,7,42,248,32,327,360,13,45,5,207,360,191106.6882,737352339.5,5538,202007,0.294296211
19,אשקלון,עירייה,7100,דרום,5079,20,96,6999,688,1244,5140,607,7115,9492,345,244,252,7059,9492,42463.30198,52318021.57,7100,202007,97.07935904
20,באקה אל גרבייה (באקה אל ררבי,עירייה,6000,חיפה,731,2,28,1134,94,334,786,27,1164,1282,40,30,53,917,1282,17468.96296,9180717.571,6000,202007,79.62340572
21,באר טוביה,מועצה אזורית,5533,דרום,1289,13,37,1876,55,243,1533,121,1926,2558,74,127,19,1947,2558,105254.4945,128231762.3,5533,202007,10.05211171
22,באר יעקב,מועצה מקומית,2530,מרכז,506,1,15,664,62,120,500,45,680,959,66,32,14,702,959,17969.21923,9461892.443,2530,202007,53.47767406
23,באר שבע,עירייה,9000,דרום,7149,36,190,9957,912,1381,7610,1102,10183,12904,380,297,221,9018,12904,55936.00486,117398456.5,9000,202007,60.89517882
24,בוסתאן אל מרג',מועצה אזורית,5566,צפון,123,0,6,241,3,60,182,4,247,249,1,12,2,205,249,31386.17818,9003783.266,5566,202007,13.66092412
25,בועיינה - נוג'ידאת,מועצה מקומית,0482,צפון,88,1,7,135,16,37,102,4,143,136,3,3,0,105,136,16845.48901,7159698.68,482,202007,12.29102005
26,בוקעאתא,מועצה מקומית,4001,צפון,58,1,6,93,8,17,75,8,100,83,0,1,2,55,83,25183.46952,19540130.38,4001,202007,2.968250409
27,ביר אל מכסור,מועצה מקומית,0998,צפון,96,0,4,145,12,28,119,2,149,164,1,6,4,124,164,21761.91756,5828102.133,998,202007,16.47191449
28,בית ג'ן,מועצה מקומית,0480,צפון,193,2,6,299,19,61,232,14,307,280,6,2,1,218,280,17571.47584,7199072.698,480,202007,26.80900834
29,בית דגן,מועצה מקומית,0466,מרכז,154,0,2,194,11,22,153,16,196,282,31,12,7,182,282,6676.810544,1419709.617,466,202007,108.4728864
30,בית שאן,עירייה,9200,צפון,385,1,12,489,49,85,357,48,502,655,27,18,27,446,655,13946.16673,7386715.702,9200,202007,52.12059264
31,בית שמש,עירייה,2610,ירושלים,1075,8,56,1312,269,274,873,105,1376,1737,83,57,43,1079,1737,49318.12804,38289930.07,2610,202007,28.07526673
32,בני ברק,עירייה,6100,תל אביב,3320,9,126,3697,882,733,2505,398,3832,5357,730,200,299,2718,5357,12598.81167,7348485.2,6100,202007,451.7937929
33,"בני עי""ש",מועצה מקומית,1066,מרכז,83,1,2,104,15,10,82,14,107,144,4,7,2,105,144,6232.145234,817193.4989,1066,202007,101.567132
34,בני שמעון,מועצה אזורית,5541,דרום,1065,40,107,1920,37,317,1626,100,2067,2052,37,131,11,1458,2052,261164.4186,370729642.6,5541,202007,2.872713367
35,בנימינה - גבעת עדה,מועצה מקומית,9800,חיפה,363,2,17,512,29,84,405,35,531,662,33,16,21,494,662,33370.8782,24396791.63,9800,202007,14.87900563
36,"בסמ""ה",מועצה מקומית,1326,חיפה,650,2,5,1007,34,161,796,51,1014,1179,15,51,4,847,1179,21808.03638,5603483.294,1326,202007,115.9992751
37,בסמת טבעון,מועצה מקומית,0944,צפון,60,1,2,77,6,16,59,5,80,95,4,3,2,65,95,16616.54699,3929651.86,944,202007,15.26852814
38,בענה,מועצה מקומית,0483,צפון,185,0,6,353,28,94,250,14,359,319,6,7,3,249,319,9921.238984,3458480.675,483,202007,53.49169689
39,ברנר,מועצה אזורית,5528,מרכז,278,6,8,395,11,49,311,44,409,537,38,17,7,406,537,48450.70321,36918535.64,5528,202007,7.530092815
40,בת ים,עירייה,6200,תל אביב,3249,11,130,3744,652,513,2543,688,3885,5362,732,104,267,3023,5362,15594.55467,9410690.993,6200,202007,345.2456363
41,ג'דיידה - מכר,מועצה מקומית,1292,צפון,982,6,14,2071,60,454,1569,63,2091,1855,42,47,33,1457,1855,17953.25176,9092770.383,1292,202007,107.9978883
42,ג'וליס,מועצה מקומית,0485,צפון,78,0,4,125,9,41,83,3,129,124,4,2,6,96,124,11448.09072,3997983.241,485,202007,19.50983666
43,ג'לג'וליה,מועצה מקומית,0627,מרכז,63,0,6,109,2,15,92,8,115,128,6,7,2,99,128,11982.74247,1893256.339,627,202007,33.27600109
44,ג'סר אל-זרקא,מועצה מקומית,0541,חיפה,140,3,4,171,66,64,101,9,178,211,2,10,25,119,211,7304.568671,2022854.569,541,202007,69.20912761
45,ג'ת,מועצה מקומית,0628,חיפה,331,3,18,599,22,165,432,17,620,589,9,28,11,440,589,16781.49044,7462887.612,628,202007,44.35280513
46,גבעת שמואל,עירייה,0681,מרכז,473,3,8,554,68,67,433,50,565,845,98,23,18,582,845,10000.51922,2575042.786,681,202007,183.6862683
47,גבעתיים,עירייה,6300,תל אביב,1045,7,49,1119,174,102,857,187,1175,1771,393,33,103,948,1771,9869.672848,3242375.637,6300,202007,322.294551
48,גדרה,מועצה מקומית,2550,מרכז,614,4,11,824,70,148,607,64,839,1212,46,53,28,933,1212,19965.94855,11433063.92,2550,202007,53.7038894
