OBJECTID,ID,ישוב,שימוש עיקרי,אוכלוסיה ב-2018,שטח מטר רבוע,סוג אזור,USETYPECOD,הרוגים,פצועים קשה,פצועים קל,הולכי רגל שנפגעו,נפגעים בגילאי 0-19,נפגעים בגילאי 20-64,נפגעים בגילאי 65 ומעלה,סהכ נפגעים,סהכ נהגים מעורבים,אופנועים,משאיות מעל 3.5 טון,אופניים,רכבים פרטיים,סהכ כלי רכב מעורבים,Shape_Length,Shape_Area,סהכ תאונות,תאונות לקילומטר רבוע,CITYCODE
1,544,ראשון לציון,מגורים,9948,852978,מגורים,1,0,7,65,28,13,42,16,72,88,17,2,3,58,88,3765.786332,852977.6304,56,65.65236649,8300
2,2172,טבריה,מגורים,6378,1475818,מגורים,1,0,1,24,1,8,16,0,25,26,3,0,0,19,26,6981.506433,1475817.504,12,8.131086648,6700
3,1186,ירושלים,מגורים,12277,346241,מגורים,1,0,2,15,9,10,4,3,17,22,1,0,1,12,22,3958.16145,346241.1813,14,40.43424283,3000
4,137,הרצליה,מגורים,5341,499512,מגורים,1,0,0,15,3,2,11,2,15,20,2,0,0,14,20,3065.801625,499511.9653,11,22.0214945,6400
5,1828,קרית אתא,שטח פתוח,0,508601,פנאי/טבע/ספורט,3,0,0,12,0,4,8,0,12,8,0,0,0,7,8,3692.333816,508601.2067,2,3.932354021,6800
6,779,אשדוד,מגורים,4250,339317,מגורים,1,0,0,73,7,11,50,11,73,66,4,3,0,53,66,2799.189086,339317.0836,35,103.148358,70
7,2407,באר שבע,שטח פתוח,0,681282,פנאי/טבע/ספורט,3,0,0,6,0,1,5,0,6,2,0,0,0,2,2,4962.864616,681282.3769,1,1.467820149,9000
8,1421,טל שחר נחשון בקוע נווה שלום,מגורים,2992,28874994,מגורים,1,1,10,78,2,13,67,9,89,72,2,1,5,54,72,34926.8309,28874993.83,35,1.212121471,
9,1039,תל אביב - יפו,מגורים,1737,230938,מגורים,1,1,9,101,6,14,89,7,111,161,40,5,3,94,161,1966.35904,230938.1757,77,333.4225697,5000
10,246,בני ברק,מגורים,19257,435224,מגורים,1,0,9,41,35,22,15,12,50,54,8,2,4,20,54,2970.819358,435223.6548,43,98.7997769,6100
11,1665,דאהרייה,לא ידוע,0,58946757,עתידי/לא ידוע,5,1,2,9,0,0,12,0,12,9,0,1,0,5,9,40071.50737,58946756.63,4,0.067857847,
12,872,תל מונד,מגורים,6431,2870532,מגורים,1,0,3,30,5,7,21,5,33,40,5,0,1,28,40,12031.70727,2870532.231,23,8.012451403,154
13,2244,חריש,מגורים,3785,968525,מגורים,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,4150.275826,968525.4891,1,1.032497349,1247
14,1514,דאר סלאח,לא ידוע,0,10193417,עתידי/לא ידוע,5,0,1,6,0,4,2,1,7,3,0,0,0,2,3,15875.39394,10193417.1,2,0.196205059,
15,465,נצר סרני,מגורים,823,2787017,מגורים,1,0,0,1,0,0,1,0,1,2,0,1,0,1,2,9408.084428,2787016.769,1,0.358806596,
16,1132,ירושלים,מגורים,5935,350784,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081.988671,350783.804,0,0,3000
17,83,תל אביב - יפו,מגורים,1997,200117,מגורים,1,0,9,52,12,21,35,3,61,78,24,0,6,34,78,1981.948464,200116.8325,44,219.8715593,5000
18,1774,טירת כרמל,תעשיה,0,394531,תעשיה/מסחר/מתקנים,4,0,0,5,4,0,5,0,5,6,0,0,0,5,6,2719.150739,394531.4559,5,12.67326071,2100
19,2479,אשקלון,מגורים,11875,4025249,מגורים,1,0,1,18,2,3,16,0,19,16,2,0,0,13,16,8992.23774,4025249.403,9,2.235886301,7100
20,725,שוהם,מגורים,5479,929400,מגורים,1,0,0,2,2,1,1,0,2,2,0,0,0,2,2,4615.326809,929399.5328,2,2.151927055,1304
21,2081,כרמיאל,מגורים,5626,924397,מגורים,1,0,1,20,5,11,8,1,21,23,1,0,1,18,23,4838.365818,924396.69,14,15.14501312,1139
22,1367,א-טירה מזרח,לא ידוע,0,2207487,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7693.915475,2207486.585,0,0,
23,318,חולון,מגורים,2436,284410,מגורים,1,1,1,16,4,3,7,8,18,27,8,0,1,15,27,2601.367979,284410.0501,15,52.74075228,6600
24,1993,עברון מזרעה בן עמי,מגורים,5454,7953196,מגורים,1,1,2,101,2,19,69,16,104,84,3,1,0,76,84,14509.36608,7953195.953,34,4.275010977,
25,944,פלמחים,מגורים,658,6105517,מגורים,1,4,2,41,6,14,31,2,47,34,2,2,0,27,34,13991.89414,6105516.727,18,2.948153417,
26,1611,סענג'יל,לא ידוע,0,64309548,עתידי/לא ידוע,5,2,10,45,0,15,41,1,57,35,1,0,0,24,35,42282.092,64309548.24,15,0.233246857,
27,2316,כחל,מגורים,425,20117263,מגורים,1,0,2,86,0,24,60,3,88,42,2,1,0,29,42,34279.99011,20117263.39,19,0.944462456,
28,562,ראשון לציון,מגורים,4407,528866,מגורים,1,0,1,14,5,6,9,0,15,21,0,0,1,19,21,3525.104441,528865.8729,9,17.01754729,8300
29,1204,ירושלים,שטח פתוח,0,1440959,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5305.202652,1440958.723,0,0,3000
30,2560,יישובים בדואים לא מוכרים,שטח פתוח,0,65835066,פנאי/טבע/ספורט,3,6,4,144,2,28,116,10,154,111,1,6,0,74,111,63537.39705,65835065.7,53,0.805042107,
31,155,כפר שמריהו,שדה תעופה,0,1168040,תעשיה/מסחר/מתקנים,4,0,2,15,0,2,15,0,17,25,4,0,0,20,25,5227.192982,1168040.137,12,10.27361956,267
32,1846,יקנעם עילית,תעשיה,0,2213735,תעשיה/מסחר/מתקנים,4,0,14,146,1,39,117,4,160,123,1,10,0,90,123,14635.27157,2213735.397,55,24.84488439,240
33,797,גדרה,מגורים,7412,1054363,מגורים,1,0,0,9,2,4,4,0,9,15,3,0,1,11,15,4332.271373,1054362.919,7,6.639080218,2550
34,2409,באר שבע,מגורים,3733,347151,מגורים,1,2,0,28,3,6,20,4,30,29,2,1,0,24,29,2395.975875,347150.974,14,40.32827516,9000
35,1439,שמורת טבע נחל דולב,שמורת טבע,0,1094522,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5220.200875,1094521.512,0,0,
36,390,רעננה,שטח לדרכים,0,495014,עתידי/לא ידוע,5,1,1,3,0,0,3,2,5,9,0,1,0,6,9,3402.599563,495013.739,4,8.080583799,8700
37,1041,קלנסווה,מגורים,10482,6025328,מגורים,1,2,3,21,4,8,15,3,26,22,1,1,0,16,22,11417.27884,6025328.018,14,2.323524953,638
38,248,בני ברק,תעשיה+מגורים,13994,432759,מגורים,1,1,8,30,25,18,13,8,39,45,7,3,1,24,45,3605.798998,432758.6082,34,78.56573932,6100
39,1683,חיפה,קריית הממשלה,0,164029,מוסדי/ציבורי,2,1,1,29,6,4,24,3,31,33,2,2,0,20,33,1855.790939,164029.2201,20,121.9294952,4000
40,890,עדנים,מגורים,519,1528305,מגורים,1,0,1,20,1,1,19,1,21,22,3,0,0,15,22,5651.562028,1528304.694,12,7.851837432,
41,2262,פרדס חנה אזורים סטטיסטיים 78 ונווה אבות,מגורים+מוסדי,8946,8640781,מגורים,1,2,7,98,12,18,74,15,107,118,7,2,2,92,118,14737.71357,8640781.41,61,7.059546713,
42,1532,בית ג'אלא,לא ידוע,0,1022447,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4877.144603,1022446.635,0,0,
43,483,לוד,מגורים,6207,837568,מגורים,1,2,3,21,6,9,16,1,26,38,5,1,5,19,38,4042.094448,837568.212,21,25.07258478,7000
44,1150,ירושלים,מגורים+ מכללה אקדמאית+ בית חולים,4422,317382,מגורים,1,1,5,51,22,13,34,7,57,62,13,0,7,26,62,2840.741509,317382.4149,42,132.3324735,3000
45,101,תל אביב - יפו,תעשיה+ מגורים,970,188991,מגורים,1,0,5,93,23,5,72,4,98,150,49,3,9,68,150,1819.914613,188991.4506,77,407.4258373,5000
46,1776,חיפה,מגורים,5656,541689,מגורים,1,0,3,74,1,16,48,13,77,79,2,1,0,69,79,3922.042743,541689.326,37,68.30483493,4000
47,2481,אשקלון,מגורים,8979,764276,מגורים,1,1,2,71,9,19,42,13,74,73,2,0,1,62,73,3671.090336,764276.0533,40,52.33711017,7100
48,743,מודיעין-מכבים-רעות*,מגורים,5033,560801,מגורים,1,0,0,20,1,7,12,1,20,24,0,0,0,24,24,4729.756742,560800.7911,11,19.61480828,1200
49,2099,סח'נין,מגורים,5488,4606249,מגורים,1,0,0,10,0,3,7,0,10,3,0,0,0,3,3,10447.18627,4606249.345,2,0.434192735,7500
50,1369,ביתוניא מזרח,לא ידוע,0,1571421,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5472.60892,1571420.861,0,0,
51,320,מקווה ישראל,מוסדי,386,1619017,מוסדי/ציבורי,2,0,0,19,2,3,14,2,19,27,0,0,0,24,27,5356.582474,1619017.326,13,8.029562,
52,2011,הילה,מגורים,578,12255899,מגורים,1,0,3,19,1,6,16,0,22,12,1,0,0,7,12,23591.74532,12255899.14,8,0.652746886,
53,962,מתקן מחיזור חירייה,מתקן מיחזור,0,3015576,תעשיה/מסחר/מתקנים,4,1,13,90,2,15,74,13,104,128,27,4,1,79,128,9554.970234,3015575.718,59,19.56508657,
54,1629,ראס אל-ג'ורא,לא ידוע,0,1054590,עתידי/לא ידוע,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4934.231981,1054589.574,0,0,
55,2334,גן שמואל תלמי אלעזר,מגורים,1825,13078260,מגורים,1,0,1,22,0,8,15,0,23,23,1,0,0,19,23,29594.20992,13078259.69,10,0.764627729,
56,580,רחובות,שטח פתוח,0,1481664,פנאי/טבע/ספורט,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6656.022897,1481664.09,0,0,8400
57,1222,ירושלים,מיועד למגורים,0,369442,עתידי/לא ידוע,5,0,1,23,0,8,14,2,24,20,2,0,0,13,20,2666.434947,369441.9982,11,29.77463324,3000
58,2578,תעשיון מבצע*,תעשיה,0,3310292,תעשיה/מסחר/מתקנים,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7684.484622,3310291.989,0,0,
59,173,רמת השרון,תעשיה ומסחר,0,294968,תעשיה/מסחר/מתקנים,4,0,3,7,4,1,7,2,10,11,2,1,0,7,11,3214.968539,294967.9141,7,23.73139472,2650
60,1848,דאלית אל-כרמל,מגורים,4546,3109752,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10684.35759,3109752.462,0,0,
61,815,קרית עקרון,מגורים,3451,803691,מגורים,1,1,1,3,3,2,2,1,5,9,1,0,0,6,9,4254.351734,803690.8548,5,6.221297617,469
62,2427,באר שבע,מגורים,4503,425791,מגורים,1,0,0,14,1,2,9,2,14,16,0,0,0,16,16,2843.367498,425790.5549,9,21.13715275,9000
63,1441,דייר ראפאת גבעת שמש צרעה ישעי,מגורים+מוסדי,1836,20414042,מגורים,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22800.7346,20414041.62,0,0,
64,392,רעננה,מגורים,3868,242682,מגורים,1,0,0,12,4,1,9,2,12,18,4,1,0,9,18,2093.824149,242682.158,11,45.32677677,8700
