מספר זוגות שהתגרשו לפי מקום מגורים של הזוג,,,,,,,,,,,
מקום מגורים של הזוג,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
אבו ג'ווייעד (שבט),,,,,,1,,,,,
אבו גוש,,,,,,,,,,1,
אבו עמרה (שבט),1,,,,,,,,,,
אבטליון,2,1,,,2,1,1,,2,,1
אביאל,1,,2,,,1,1,,1,,
אביבים,,,2,,1,,,,,,1
אביגדור,1,,3,3,4,1,2,2,1,,3
אביחיל,2,5,,6,2,3,2,3,1,2,5
אביטל,,,2,,1,1,1,2,3,2,6
אביעזר,,,1,1,1,,2,,2,1,2
אבירים,,,1,,,1,,,1,,
אבן יהודה,14,21,28,31,30,40,21,23,33,21,32
אבן מנחם,,1,1,5,,5,,1,,1,
אבן ספיר,,,2,1,1,,5,4,1,2,1
אבן שמואל,1,,,1,,,,,,1,5
אבני איתן,,,1,,,1,,,1,,1
אבני חפץ,1,2,1,1,6,5,2,6,3,3,5
אבשלום,,,,,1,,,,,,
אדורה,,,1,1,,1,,,,,
אדירים,1,,1,1,,2,,,,,
אדמית,,,1,,,,1,,1,1,
אדרת,1,,,3,2,2,7,1,3,2,
אודים,,,3,7,3,1,7,3,1,2,4
אודם,,,,1,,,1,,,,
אוהד,,,,1,2,,1,,1,1,
אומן,,,3,,1,1,,2,4,2,2
אומץ,,1,,,,,1,1,4,,3
אופקים,62,55,62,48,60,54,47,60,33,50,48
אור הגנוז,,,,,,,,,,2,
אור הנר,1,1,,1,1,1,,1,4,2,2
אור יהודה,67,87,74,82,104,100,67,101,82,90,74
אור עקיבא,21,33,39,43,35,39,36,38,64,45,37
אורה,3,3,2,7,1,4,5,1,6,3,1
אורות,1,2,1,1,1,2,,1,1,1,
אורטל,,,,,,,1,2,,2,1
אורים,,,,,,,,,1,1,
אורנים,,,,2,,3,,,1,,
אורנית,11,10,25,24,19,15,15,16,21,10,19
אושה,,,,1,,1,2,,,,
אזור,18,39,35,23,28,29,33,28,36,29,28
אחווה,1,1,,,,1,,,1,,
אחוזם,1,1,3,,,3,,2,3,2,2
אחוזת ברק,,4,2,,6,,4,1,,5,2
אחיהוד,1,,,6,1,2,1,2,,,2
אחיטוב,1,,1,3,,1,6,3,1,5,1
אחיסמך,1,1,4,2,5,2,2,,2,,4
אחיעזר,3,2,5,4,4,1,4,5,8,3,6
איבים,,,,1,,,,,,,2
אייל,,,,5,,1,,2,,,1
איילת השחר,,3,2,4,5,6,8,2,2,2,1
אילון,1,1,,3,4,1,1,1,2,4,1
אילות,,,1,2,,,2,1,1,2,1
אילניה,,,1,1,1,,2,1,1,2,1
אילת,128,132,115,116,140,143,110,130,120,117,134
איתמר,,3,,,4,2,1,3,2,,2
איתן,,,,,1,1,1,,,,2
איתנים,,,1,,,,,,,,
אלומה,1,,1,6,1,,1,1,1,1,
אלומות,,,,1,,,1,,,1,
אלון הגליל,,2,1,2,,,,1,1,1,4
אלון מורה,,,2,1,2,,,1,1,2,
אלון שבות,4,3,4,1,7,2,8,3,2,3,8
אלוני אבא,,,,1,,1,1,2,2,,4
אלוני הבשן,,,,,,,,,,1,1
אלוני יצחק,,,,,1,,1,,,,
אלונים,,,,2,1,,,,,1,
אליכין,4,7,6,6,3,3,5,7,7,8,5
אלי-עד,,,1,,,,,2,1,2,1
אליפז,,,,1,,,,1,,,
אליפלט,,1,1,2,,1,1,3,2,,3
אליקים,,,2,,3,2,2,1,10,3,2
אלישיב,,,1,,2,,1,2,,1,2
אלישמע,,3,5,,6,5,8,4,2,,1
אלמגור,,,,,1,,,,2,,
אלמוג,,,,2,1,,,1,1,,2
אלעד,25,41,50,64,44,71,56,70,55,67,73
אלעזר,2,2,,,,4,,5,1,3,3
אלפי מנשה,4,12,30,26,19,25,17,17,26,15,23
